id_pedido;hora;tiempo_atencion;error_pedido;num_clientes_en_cola;id_producto;id_metodo_pago;id_empleado
1;10;9.8;0;2;1;1;1
2;18;10.0;0;7;2;1;2
3;10;11.3;0;6;1;2;2
4;8;10.1;1;2;1;2;1
5;15;9.4;0;8;2;3;1
6;15;8.7;0;2;1;2;2
7;15;7.9;0;2;1;3;3
8;16;10.7;1;4;1;3;3
9;10;6.4;1;3;2;1;1
10;14;10.8;1;7;1;1;2
11;10;9.2;0;6;3;2;1
12;13;8.5;0;8;3;1;1
13;9;6.2;0;2;3;1;1
14;14;11.3;0;6;1;1;3
15;14;9.9;0;2;1;3;2
16;16;5.2;0;2;3;1;3
17;14;10.8;0;7;3;2;2
18;14;9.6;1;4;1;2;3
19;16;7.8;1;4;2;1;2
20;12;11.5;0;13;3;2;2
21;8;7.7;0;2;3;2;2
22;11;9.1;0;3;1;1;2
23;15;9.8;0;8;3;1;2
24;18;12.3;0;5;1;2;1
25;16;9.7;0;2;1;3;3
26;10;6.7;0;2;2;3;2
27;14;7.7;0;6;2;3;1
28;9;7.8;0;6;3;3;1
29;18;7.2;0;7;3;1;1
30;9;11.6;1;5;1;2;1
31;9;6.4;0;2;2;1;2
32;12;10.7;0;12;2;1;3
33;14;9.4;0;3;1;3;1
34;14;10.3;1;8;3;1;2
35;11;9.1;0;4;3;2;1
36;9;13.8;0;7;1;2;2
37;15;4.9;0;2;3;3;1
38;18;9.6;0;8;2;3;3
39;12;15.5;0;14;1;1;3
40;9;8.6;0;7;3;1;3
41;9;8.8;0;3;1;3;1
42;13;10.7;1;9;3;2;3
43;15;8.5;0;2;2;1;1
44;16;6.8;1;3;3;1;2
45;8;11.9;0;5;1;1;1
46;18;6.9;0;4;2;1;3
47;11;8.1;0;2;2;3;1
48;8;9.0;0;8;2;1;3
49;8;12.5;0;5;1;2;1
50;18;6.7;0;5;3;3;1
51;11;9.9;0;3;1;3;2
52;16;7.5;0;6;3;1;3
53;9;7.3;0;4;2;3;3
54;13;14.5;0;15;2;1;2
55;10;8.9;0;6;3;3;3
56;12;12.6;0;11;1;3;3
57;9;6.8;1;6;3;1;1
58;16;8.4;0;3;3;2;1
59;17;13.1;0;14;3;1;1
60;12;14.0;0;10;1;2;1
61;14;9.6;1;4;2;2;3
62;10;12.6;1;8;1;1;1
63;11;12.5;1;8;1;1;1
64;17;11.2;1;10;3;2;2
65;11;12.1;1;6;1;1;1
66;8;11.4;0;7;1;2;2
67;8;10.4;0;8;2;3;1
68;13;14.6;0;11;1;2;1
69;11;5.8;0;2;3;3;3
70;15;6.5;1;2;3;2;2
71;16;6.7;0;5;3;1;2
72;12;10.1;0;11;3;1;2
73;8;8.5;0;3;2;1;1
74;8;12.0;0;7;1;1;1
75;11;8.0;0;2;2;2;1
76;18;11.8;0;6;1;2;1
